date,ret_afeve,signal,prob_long,equity,afternoon_open
2022-11-23,0.0071880344190944,0.0,0.4605263157894736,8000.0,4020.0
2022-11-24,-0.0143188952953465,0.0,0.4605263157894736,8000.0,4150.0
2022-11-29,0.0042343041387873,0.0,0.4605263157894736,8000.0,4242.0
2022-11-30,0.0052071123571622,0.0,0.4605263157894736,8000.0,4214.0
2022-12-01,-0.0140984347832979,0.0,0.4605263157894736,8000.0,4143.0
2022-12-05,-0.0047744782241707,0.0,0.4605263157894736,8000.0,3989.0
2022-12-06,0.047550147067735,0.0,0.4605263157894736,8000.0,3881.0
2022-12-07,0.0064388533500263,0.0,0.4605263157894736,8000.0,4025.0
2022-12-08,0.0010103562364918,0.0,0.4605263157894736,8000.0,3957.0
2022-12-12,-0.0054780363937698,0.0,0.4605263157894736,8000.0,3844.0
2022-12-13,0.0080890228730829,0.0,0.4605263157894736,8000.0,3940.0
2022-12-14,0.0048034474863882,0.0,0.4605263157894736,8000.0,3946.0
2022-12-19,0.007853111923378,0.0,0.4605263157894736,8000.0,3932.0
2022-12-20,0.0066615670379093,0.0,0.4605263157894736,8000.0,3890.0
2022-12-21,0.0040322635279377,0.0,0.4605263157894736,8000.0,3960.0
2022-12-22,-0.0046487687026246,0.0,0.4605263157894736,8000.0,3881.0
2022-12-27,0.010006184768482,0.0,0.4605263157894736,8000.0,4077.0
2022-12-28,-0.018898586756924,0.0,0.4605263157894736,8000.0,4113.0
2022-12-29,0.0083497538151302,0.0,0.4605263157894736,8000.0,4055.0
2023-01-03,0.0018903597311688,0.0,0.4605263157894736,8000.0,4228.0
2023-01-04,-0.0078881728490056,0.0,0.4605263157894736,8000.0,4200.0
2023-01-05,-0.007845100299443,0.0,0.4605263157894736,8000.0,4095.0
2023-01-09,0.0059716524810209,0.0,0.4605263157894736,8000.0,4007.0
2023-01-10,-0.0002528125408485,0.0,0.4605263157894736,8000.0,3956.0
2023-01-11,-0.009973231878753,0.0,0.4605263157894736,8000.0,3930.0
2023-01-12,0.0028143807754066,0.0,0.4605263157894736,8000.0,3903.0
2023-01-16,-0.0074945434137863,0.0,0.4605263157894736,8000.0,3884.0
2023-01-17,-0.0164130296413294,0.0,0.4605263157894736,8000.0,3870.0
2023-01-18,0.003611043387389,0.0,0.4605263157894736,8000.0,3870.0
2023-01-19,0.0012855124536717,0.0,0.4605263157894736,8000.0,3887.0
2023-01-25,-0.0029313811797244,0.0,0.4605263157894736,8000.0,3758.0
2023-01-26,0.0071589858981386,0.0,0.4605263157894736,8000.0,3758.0
2023-01-30,-0.0083661281475606,0.0,0.4605263157894736,8000.0,3961.0
2023-02-02,-0.0103820977799067,0.0,0.4605263157894736,8000.0,3776.0
2023-02-07,-0.0027957827335196,0.0,0.4605263157894736,8000.0,3940.0
2023-02-08,0.0098423507465135,0.0,0.4605263157894736,8000.0,3943.0
2023-02-09,0.0015151518050107,0.0,0.4605263157894736,8000.0,3957.0
2023-02-13,0.0084345547960342,0.0,0.4605263157894736,8000.0,3896.0
2023-02-14,-0.0052970233578708,0.0,0.4605263157894736,8000.0,3975.0
2023-02-16,0.0217078084982311,0.0,0.4605263157894736,8000.0,4010.0
2023-02-20,0.0007157342545784,0.0,0.4605263157894736,8000.0,4190.0
2023-02-21,0.0062605550015568,0.0,0.4605263157894736,8000.0,4140.0
2023-02-22,0.003094135516239,0.0,0.4605263157894736,8000.0,4195.0
2023-02-23,0.0168270352627164,0.0,0.4605263157894736,8000.0,4184.0
2023-02-27,0.0119190922372105,0.0,0.4605263157894736,8000.0,4170.0
2023-02-28,-0.0081770537393879,0.0,0.4605263157894736,8000.0,4175.0
2023-03-01,0.0054807714939695,0.0,0.4605263157894736,8000.0,4185.0
2023-03-02,0.0051401982335619,0.0,0.4605263157894736,8000.0,4269.0
2023-03-06,0.0030469963806094,0.0,0.4605263157894736,8000.0,4260.0
2023-03-07,-0.0155115865159842,0.0,0.4605263157894736,8000.0,4223.0
2023-03-08,0.0014343774871434,0.0,0.4605263157894736,8000.0,4180.0
2023-03-09,0.0157370915838477,0.0,0.4605263157894736,8000.0,4161.0
2023-03-13,-0.009852296443011,0.0,0.4605263157894736,8000.0,4080.0
2023-03-14,0.0049776110737536,0.0,0.4605263157894736,8000.0,4008.0
2023-03-16,0.001525553308836,0.0,0.4605263157894736,8000.0,3930.0
2023-03-20,0.0023403989359263,0.0,0.4605263157894736,8000.0,3841.0
2023-03-21,-0.0110702237542454,0.0,0.4605263157894736,8000.0,3815.0
2023-03-22,0.0038199227895692,0.0,0.4605263157894736,8000.0,3658.0
2023-03-23,-0.0254452425149729,0.0,0.4605263157894736,8000.0,3622.0
2023-03-27,0.012246186998416,0.0,0.4605263157894736,8000.0,3571.0
2023-03-28,0.0116611490899405,0.0,0.4605263157894736,8000.0,3666.0
2023-03-29,0.0130330381315246,0.0,0.4605263157894736,8000.0,3659.0
2023-03-30,0.0047885167317964,0.0,0.4605263157894736,8000.0,3750.0
2023-04-03,0.0118772374805953,0.0,0.4605263157894736,8000.0,3850.0
2023-04-04,-0.0048376924392528,0.0,0.4605263157894736,8000.0,3937.0
2023-04-05,-0.0046118452225627,0.0,0.4605263157894736,8000.0,3912.0
2023-04-06,-0.0231389499361789,0.0,0.4605263157894736,8000.0,3891.0
2023-04-10,0.009132483563274,0.0,0.4605263157894736,8000.0,3815.0
2023-04-11,-0.0018015704267906,0.0,0.4605263157894736,8000.0,3889.0
2023-04-12,-0.0345044844669431,0.0,0.4605263157894736,8000.0,3833.0
2023-04-13,0.0112631922787116,0.0,0.4605263157894736,8000.0,3708.0
2023-04-17,0.002199011331438,0.0,0.4605263157894736,8000.0,3634.0
2023-04-18,0.0126751102804227,0.0,0.4605263157894736,8000.0,3763.0
2023-04-19,-0.0060854798200811,0.0,0.4605263157894736,8000.0,3791.0
2023-04-25,-0.0080769134256435,0.0,0.4605263157894736,8000.0,3605.0
2023-04-26,-0.0036156345882947,0.0,0.4605263157894736,8000.0,3602.0
2023-04-27,-0.0131731572750162,0.0,0.4605263157894736,8000.0,3515.0
2023-05-02,0.0073779292913478,0.0,0.4605263157894736,8000.0,3376.0
2023-05-08,0.0102703605460483,0.0,0.4605263157894736,8000.0,3681.0
2023-05-09,0.0174290509243437,0.0,0.4605263157894736,8000.0,3697.0
2023-05-10,-0.0146454488275473,0.0,0.4605263157894736,8000.0,3783.0
2023-05-11,-0.0057700393634672,0.0,0.4605263157894736,8000.0,3650.0
2023-05-16,-0.0154184872636804,0.0,0.4605263157894736,8000.0,3464.0
2023-05-17,0.0067637370045172,0.0,0.4605263157894736,8000.0,3389.0
2023-05-18,-0.0035252680456849,0.0,0.4605263157894736,8000.0,3410.0
2023-05-22,0.0064365348019546,0.0,0.4605263157894736,8000.0,3407.0
2023-05-23,0.0035200975039852,0.0,0.4605263157894736,8000.0,3403.0
2023-05-24,0.0061846758762573,0.0,0.4605263157894736,8000.0,3385.0
2023-05-25,0.0120414298981916,0.0,0.4605263157894736,8000.0,3467.0
2023-05-29,0.0005694760973948,0.0,0.4605263157894736,8000.0,3511.0
2023-05-30,-0.0255407982851352,0.0,0.4605263157894736,8000.0,3450.0
2023-05-31,-0.0079755023983345,0.0,0.4605263157894736,8000.0,3273.0
2023-06-01,0.0115890287587898,0.0,0.4605263157894736,8000.0,3260.0
2023-06-06,-0.0026749904493037,0.0,0.4605263157894736,8000.0,3369.0
2023-06-07,0.0014958865915826,0.0,0.4605263157894736,8000.0,3340.0
2023-06-08,0.0048396948669644,0.0,0.4605263157894736,8000.0,3298.0
2023-06-12,0.0047932985722809,0.0,0.4605263157894736,8000.0,3330.0
2023-06-13,0.0144353662928953,0.0,0.4605263157894736,8000.0,3370.0
2023-06-14,-0.0166288235368128,0.0,0.4605263157894736,8000.0,3517.0
2023-06-19,-0.0037214290689,0.0,0.4605263157894736,8000.0,3769.0
2023-06-20,-0.0071971522184863,0.0,0.4605263157894736,8000.0,3765.0
2023-06-21,-0.0151009581015966,0.0,0.4605263157894736,8000.0,3603.0
2023-06-22,-0.0091833120679094,0.0,0.4605263157894736,8000.0,3610.0
2023-06-26,0.0138157418976021,0.0,0.4605263157894736,8000.0,3666.0
2023-06-27,-0.0183096121953365,0.0,0.4605263157894736,8000.0,3748.0
2023-07-03,-0.0048010199609578,0.0,0.4605263157894736,8000.0,3967.0
2023-07-04,-0.0025374284104167,0.0,0.4605263157894736,8000.0,3946.0
2023-07-05,-0.0007711091501487,0.0,0.4605263157894736,8000.0,3892.0
2023-07-06,-0.0033440545632394,0.0,0.4605263157894736,8000.0,3894.0
2023-07-10,0.02752467339009,0.0,0.4605263157894736,8000.0,3870.0
2023-07-11,-0.0005107252409271,0.0,0.4605263157894736,8000.0,3917.0
2023-07-12,0.0005104645338018,0.0,0.4721548775462368,8000.0,3917.0
2023-07-13,0.0088106296821557,0.0,0.43741905383357266,8000.0,3842.0
2023-07-17,0.0063979744796593,1.0,0.5158886513627893,8589.999999999962,3895.0
2023-07-20,0.0116815047738381,1.0,0.5787183354152329,9764.999999999976,4000.0
2023-07-24,0.0391627438190429,1.0,0.5738139472978155,13739.999999999975,3981.0
2023-07-25,-0.0102215540715384,1.0,0.5795412785438268,12689.999999999945,4130.0
2023-07-26,-0.0229446238387343,0.0,0.4642940727028445,12654.999999999945,4144.0
2023-07-27,-0.0156700134631666,0.0,0.46345439490073687,12654.999999999945,4052.0
2023-07-31,-0.0151810454421728,0.0,0.43741905383357266,12654.999999999945,3916.0
2023-08-01,-0.0005144033035229,1.0,0.5495978952354116,12570.00000000006,3889.0
2023-08-02,-0.0096964270813337,1.0,0.5439769473598558,11619.999999999996,3938.0
2023-08-03,-0.0051840447875886,1.0,0.5504335332455533,11119.99999999992,3868.0
2023-08-07,-0.012595285899561,1.0,0.5504335332455533,9919.999999999987,3835.0
2023-08-08,-0.0048426244757884,1.0,0.5122327849466056,9469.999999999944,3726.0
2023-08-09,0.0104237212681397,1.0,0.5504335332455533,10444.999999999894,3722.0
2023-08-10,0.0,1.0,0.5904427677545467,10444.999999999894,3751.0
2023-08-14,0.005659629714307,1.0,0.5504335332455533,10969.99999999992,3700.0
2023-08-16,0.0124547536279049,1.0,0.5377988505773087,12169.99999999987,3830.0
2023-08-17,0.0133643726443075,1.0,0.5738139472978155,13469.99999999972,3865.0
2023-08-21,-0.0058576507741676,1.0,0.5071565823885485,12894.999999999693,3938.0
2023-08-22,-0.0160666840396466,1.0,0.5071565823885485,11344.99999999974,3890.0
2023-08-23,0.0087924021293854,0.0,0.43741905383357266,11309.99999999974,3850.0
2023-08-24,-0.0007715057602677,1.0,0.5795412785438268,11199.999999999844,3890.0
2023-08-28,0.0040702167613542,0.0,0.4625281778766737,11164.999999999844,3923.0
2023-08-29,0.0055752805339217,1.0,0.5880326339128586,11679.999999999935,3935.0
2023-09-04,0.0042945626191635,0.0,0.4665056113947083,11644.999999999935,3950.0
2023-09-05,-0.0076258630870178,0.0,0.4455183702386547,11644.999999999935,3949.0
2023-09-06,-0.0028368813351988,1.0,0.5158886513627893,11335.000000000016,3883.0
2023-09-07,-0.013089192110014,0.0,0.45416715538849883,11300.000000000016,3845.0
2023-09-11,0.0045315284795108,1.0,0.5391687851654492,11689.999999999975,3743.0
2023-09-12,-0.003513991992742,1.0,0.5504335332455533,11364.999999999965,3706.0
2023-09-13,0.0121475376862356,1.0,0.5504335332455533,12489.999999999993,3682.0
2023-09-14,0.0103408053902196,1.0,0.5504335332455533,13464.999999999995,3752.0
2023-09-18,-0.005585863706143,1.0,0.5904427677545467,12940.000000000126,3770.0
2023-09-19,0.0126260911715796,1.0,0.5122327849466056,14115.000000000102,3699.0
2023-09-20,-0.0072454362314982,0.0,0.47299642238283174,14080.000000000102,3740.0
2023-09-21,0.0035330924101018,0.0,0.43741905383357266,14080.000000000102,3673.0
2023-09-25,0.0021715535135076,1.0,0.5495978952354116,14245.000000000071,3680.0
2023-09-26,-0.0016207458977337,1.0,0.5495978952354116,14095.000000000033,3705.0
2023-10-02,0.0024164329116285,1.0,0.5439769473598558,14320.000000000035,3720.0
2023-10-03,-0.0131846387254022,1.0,0.5504335332455533,13095.000000000142,3741.0
2023-10-04,-0.0070005670931028,1.0,0.5504335332455533,12445.000000000111,3727.0
2023-10-05,-0.0151622477396777,0.0,0.4721548775462368,12410.000000000111,3655.0
2023-10-09,-0.0182124239232983,1.0,0.5439769473598558,10725.000000000115,3657.0
2023-10-10,-0.0042046312820325,1.0,0.5122327849466056,10350.000000000062,3575.0
2023-10-11,-0.0075747311255778,1.0,0.5504335332455533,9674.999999999955,3578.0
2023-10-12,0.0091680042071136,1.0,0.5504335332455533,10499.999999999985,3583.0
2023-10-16,0.000793755829477,1.0,0.5802370823061219,10574.999999999889,3778.0
2023-10-17,-0.0034224069208725,1.0,0.5795412785438268,10250.000000000013,3805.0
2023-10-18,-0.0076105865308182,0.0,0.4642940727028445,10215.000000000013,3825.0
2023-10-19,-0.0272539688951667,0.0,0.4642940727028445,10215.000000000013,3831.0
2023-10-23,0.0034838572018482,0.0,0.46566541067053996,10215.000000000013,3725.0
2023-10-24,0.0024459857282597,0.0,0.43741905383357266,10215.000000000013,3675.0
2023-10-25,0.0182890316777353,1.0,0.5122327849466056,11855.000000000002,3630.0
2023-10-26,0.0,1.0,0.5504335332455533,11855.000000000002,3742.0
2023-10-30,-0.0163784034390488,1.0,0.5794145127072902,10330.000000000096,3755.0
2023-10-31,0.0037950709685521,1.0,0.5504335332455533,10680.000000000151,3682.0
2023-11-01,0.0051400086111605,1.0,0.5122327849466056,11155.00000000014,3687.0
2023-11-02,0.0010576415581358,0.0,0.4721548775462368,11120.00000000014,3780.0
2023-11-06,0.0079766442613582,1.0,0.5738139472978155,11835.0000000002,3746.0
2023-11-07,-0.0106952891167484,1.0,0.5158886513627893,10835.000000000162,3760.0
2023-11-08,-0.0015940492217048,0.0,0.4721548775462368,10800.000000000162,3767.0
2023-11-09,0.0037363267378758,1.0,0.5817056803532138,11115.000000000093,3740.0
2023-11-14,0.0140541472576192,1.0,0.5031594414234738,12490.000000000187,3886.0
2023-11-16,-0.0130819475705852,1.0,0.5756399799386486,11190.000000000224,4001.0
2023-11-20,0.0073075794510817,0.0,0.46345439490073687,11155.000000000224,3954.0
2023-11-21,0.0030295403125766,1.0,0.5071565823885485,11420.000000000302,3955.0
2023-11-22,-0.0055124168651961,1.0,0.5071565823885485,10870.000000000218,4002.0
2023-11-23,-0.0048058774679091,0.0,0.4455183702386547,10835.000000000218,3963.0
2023-11-27,0.0089847864078151,0.0,0.4800236800300818,10835.000000000218,3878.0
2023-11-28,0.0048724291804624,1.0,0.5495978952354116,11275.000000000167,3890.0
2023-11-29,0.005686239151645,1.0,0.5316313358486802,11825.000000000186,3858.0
2023-11-30,0.002817263996814,1.0,0.5504335332455533,12100.000000000167,3899.0
2023-12-04,-0.000780944983072,1.0,0.5122327849466056,12025.000000000115,3843.0
2023-12-05,-0.0092654534457903,1.0,0.5122327849466056,11150.000000000091,3795.0
2023-12-06,-0.0027078272705853,1.0,0.5122327849466056,10900.000000000133,3698.0
2023-12-07,0.0185713855854352,1.0,0.5122327849466056,12625.000000000106,3681.0
2023-12-11,0.0013324452337784,1.0,0.5904427677545467,12750.000000000091,3750.0
2023-12-12,-0.0176948316568044,1.0,0.5504335332455533,11100.000000000173,3763.0
2023-12-13,-0.0040755388568172,1.0,0.5504335332455533,10725.00000000017,3688.0
2023-12-14,0.0159657024140091,1.0,0.5504335332455533,12200.000000000118,3666.0
2023-12-18,0.012511809699049,1.0,0.5738139472978155,13375.00000000007,3733.0
2023-12-19,0.00264061415651,1.0,0.5880326339128586,13625.0000000001,3782.0
2023-12-20,0.004223871116185,1.0,0.5158886513627893,14025.000000000091,3780.0
2023-12-21,-0.0134086213803836,0.0,0.49044842773710273,13990.000000000091,3754.0
2023-12-26,0.0066445427186678,0.0,0.461688941329233,13990.000000000091,3750.0
2023-12-27,-0.0079576016733149,1.0,0.5808839098857497,13205.000000000013,3785.0
2023-12-28,-0.0018644298915244,1.0,0.5504335332455533,13029.999999999909,3758.0
2024-01-02,-0.016673886361648,1.0,0.5122327849466056,11504.999999999942,3689.0
2024-01-03,0.010442524130994,1.0,0.5504335332455533,12454.999999999909,3620.0
2024-01-04,0.0041034115845928,1.0,0.5504335332455533,12829.99999999994,3648.0
2024-01-08,-0.0111733005981236,1.0,0.5316313358486802,11805.000000000087,3690.0
2024-01-09,0.0072493269549092,1.0,0.5504335332455533,12479.999999999962,3711.0
2024-01-10,-0.0055372587098574,1.0,0.5858776635458395,11954.999999999913,3803.0
2024-01-11,-0.0005267316424131,1.0,0.5817056803532138,11904.999999999873,3798.0
2024-01-16,0.002075766183843,1.0,0.509378154908639,12104.999999999727,3850.0
2024-01-17,-0.002870940246753,1.0,0.5808839098857497,11829.999999999842,3837.0
2024-01-18,0.0030935832869953,1.0,0.509378154908639,12129.999999999814,3873.0
2024-01-22,0.0045778309854522,1.0,0.5817056803532138,12579.99999999991,3923.0
2024-01-23,0.0017723767141255,1.0,0.5817056803532138,12754.99999999997,3946.0
2024-01-29,-0.0103995864341435,1.0,0.509378154908639,11729.999999999967,3963.0
2024-01-30,-0.0057009742382305,0.0,0.46566541067053996,11694.999999999967,3870.0
2024-02-05,0.0103134591282731,0.0,0.4800236800300818,11694.999999999967,3762.0
2024-02-06,0.0109205453466607,1.0,0.5431392691533872,12709.999999999947,3825.0
2024-02-07,0.0078003515635867,1.0,0.5904427677545467,13459.999999999873,3831.0
2024-02-08,0.0028179857254482,1.0,0.5504335332455533,13734.999999999818,3898.0
2024-02-13,0.0064160363817382,1.0,0.5738139472978155,14359.999999999705,3884.0
2024-02-14,0.0045569699111265,0.0,0.4642940727028445,14324.999999999705,3941.0
2024-02-19,0.0113872866088833,1.0,0.5738139472978155,15389.999999999693,3842.0
2024-02-20,-0.0010309279263598,0.0,0.4721548775462368,15354.999999999693,3882.0
2024-02-21,-0.0126241532283959,0.0,0.47299642238283174,15354.999999999693,3906.0
2024-02-22,-0.0062128079725383,1.0,0.566753599044889,14719.999999999707,3875.0
2024-02-26,0.0103789203613526,1.0,0.5305478035386695,15719.999999999834,3834.0
2024-02-27,0.0117889627765421,1.0,0.5477552282144873,16869.999999999873,3879.0
2024-02-28,-0.0017818510505485,1.0,0.5359393347825107,16694.999999999854,3932.0
2024-02-29,0.0030402861016813,1.0,0.5267860333424089,16994.99999999981,3941.0
2024-03-04,-0.0060821272135065,0.0,0.4717603911188466,16959.99999999981,3958.0
2024-03-05,0.0055165636391283,0.0,0.46261051493407107,16959.99999999981,3977.0
2024-03-06,0.0071437672941581,0.0,0.4717603911188466,16959.99999999981,4045.0
2024-03-07,0.003927349181497,0.0,0.4717603911188466,16959.99999999981,4066.0
2024-03-11,0.0102016915861451,0.0,0.49279783685017736,16959.99999999981,4096.0
2024-03-12,0.0019212301778939,0.0,0.4696275959094685,16959.99999999981,4160.0
2024-03-13,0.0174833815051336,0.0,0.4696275959094685,16959.99999999981,4139.0
2024-03-14,0.0018608984202437,1.0,0.5019870470527589,17124.999999999778,4295.0
2024-03-18,-0.0030635112919039,0.0,0.4717603911188466,17089.999999999778,4250.0
2024-03-19,0.0009487666745862,0.0,0.4604830256781219,17089.999999999778,4214.0
2024-03-20,0.008849615276981,0.0,0.4604830256781219,17089.999999999778,4275.0
2024-03-21,-0.0107880971233864,0.0,0.4717603911188466,17089.999999999778,4287.0
2024-03-25,0.0089307291577966,1.0,0.5002205454566186,18004.99999999986,4236.0
2024-03-26,-0.0037825104199793,1.0,0.5396139529512034,17604.999999999774,4238.0
2024-04-01,0.0,1.0,0.5284150966226118,17604.999999999774,4247.0
2024-04-02,0.0293764619027978,1.0,0.5215808836919031,20779.999999999774,4260.0
