date,ret_1d,ret_3d,ret_10d,ret_22d,gap,hl_ratio,mom_z_5,price_z_66,myr_ret_1d,myr_ret_5d,myr_vol_ratio,myr_z_22,myr_fcpo_corr,sbo_ret_1d,sbo_ret_5d,sbo_z_22,cpo_sbo_spread,cpo_sbo_spread_z22,month,dow,qtr,harvest,fwd_ret_1d,target
2014-12-10,-0.01953550498481249,-0.018613845933395545,-0.04095350301683354,-0.030529660615792764,-0.012048338516174262,0.022399443268060037,-0.15947054605619385,-0.6411791241280491,0.0023028219733234323,0.010985944546784365,1.2477927076325352,1.5696982165521778,-0.4671137995637191,0.0043859719432544075,0.022444438284316526,-0.7813251992634538,-0.14161335644050066,-1.5621201683055572,12.0,1.0,4.0,1.0,0.020916402787675814,1
2014-12-11,0.020916402787675814,0.0009203866273290728,-0.029460548917599638,-0.028566893808974925,0.007487166468638229,0.018995243359629415,0.06196262294364161,-0.06712198097824008,0.0025843517614227984,0.012117863227892212,1.2454743992497639,1.539839558620614,-0.452966286731732,-0.00753062862272591,-0.005966417448165728,-1.0833836560126768,-0.11575067679152173,-0.5967189682171993,12.0,2.0,4.0,1.0,0.00961325782811695,1
2014-12-12,0.00961325782811695,0.010994155630980273,-0.0027297560171897217,-0.030067331166793387,-0.006923637166347696,0.023465534926005865,0.4028257857681408,0.21024772837369318,0.0020054440183507882,0.0002862458871699669,0.6661586834917306,1.4889810940937678,-0.42186040280197307,0.008467982229867665,0.010044026685333662,-0.611860488925054,-0.1166108452116239,-0.5606510951378244,12.0,3.0,4.0,1.0,-0.010994155630980273,0
2014-12-16,-0.010994155630980273,0.01953550498481249,0.0004607233437861069,-0.04017692238803949,0.008167014541777817,0.021928699614459347,-0.015385311276910068,-0.19397087680829544,0.0,0.0002862458871699669,0.6649263952821096,1.3488240456631708,-0.40333204910755693,0.01056238462172221,0.008690309191976997,-0.10172476944243004,-0.1381673854643255,-1.2778244010589437,12.0,4.0,4.0,1.0,-0.023771802212233517,0
2014-12-17,-0.023771802212233517,-0.02515270001509684,0.005202187187284046,-0.05148195583514337,-0.009720048756583388,0.017350962837547054,-0.7584940484914352,-1.0499389822776166,-0.003583976311400505,0.0033086414416965138,0.4368665658767336,1.0470854218910541,-0.29629556929493667,-0.018400643908865977,-0.0025149337367476043,-0.9690822647005126,-0.13995456745629298,-1.261626992673637,12.0,1.0,4.0,1.0,0.0032964475341792365,1
2014-12-18,0.0032964475341792365,-0.031469510309034554,-0.005625893882168498,-0.0355613550725673,-0.002834201235875078,0.01557002437738566,-0.030303782650143524,-1.004114504814701,-0.00489491331516545,-0.0038890938467923686,0.5495130200148572,0.7026201401170643,-0.32093682133823265,0.0,-0.006900905680002012,-0.9218482810563305,-0.13176320660694785,-0.848196201265611,12.0,2.0,4.0,1.0,0.011220314067492687,1
2014-12-19,0.011220314067492687,-0.009255040610561593,-0.008794317266775487,-0.037860850361416176,0.00515827638475308,0.013029500290333897,-0.3457105463351656,-0.6601238538494306,0.0030261569314564696,-0.0034472886767586974,0.5682150252715308,0.7959416274140861,-0.30293274436382034,0.0037700327405416623,0.0043997556832655604,-0.6981613409374932,-0.12733908221145374,-0.5946284844069635,12.0,3.0,4.0,1.0,0.0013937284486038592,1
2014-12-22,0.0013937284486038592,0.015910490050275783,-0.006939653110540789,-0.044047983190398377,-0.004192878260036004,0.012614042516096664,-0.6190253657172822,-0.6480904990285647,0.0,-0.005452732695109486,0.5202300763442018,0.7225124850767438,-0.31201621996988327,0.00843096328879911,0.004362736742197004,-0.27168363929162115,-0.13437631705164943,-0.8517010598097584,12.0,4.0,4.0,1.0,0.007400588818171627,1
2014-12-23,0.007400588818171627,0.020014631334268174,-0.0009212345193203575,-0.033978353641849424,0.0060171438200251615,0.010171146399479669,-0.014966326649974373,-0.38665506360169544,0.0057388966690181675,0.00028616397390868187,0.722612285614451,0.9697323691734773,-0.2841606869552692,0.00031089694016950276,-0.0058887509393557025,-0.22650246247649927,-0.13302552184266503,-0.7278216971795038,12.0,0.0,4.0,1.0,0.01735996086248015,1
2014-12-24,0.01735996086248015,0.026154278129255637,0.016899237518694044,-0.006770506567210788,-0.0013834449981464658,0.025144181801025383,1.280816031685479,0.31497041433363826,0.0,0.003870140285309187,0.6613757239880478,0.8919539546198334,-0.33199475283350066,0.0058887509393557025,0.018400643908865977,0.08175353798539078,-0.12155431191954058,-0.016594758766381053,12.0,1.0,4.0,1.0,0.004969515535607982,1
