date,morning_gap,morning_hl,morning_gap_ret,ret_1d,ret_3d,ret_10d,price_z_66,mom_z_5,sbo_ret_1d,sbo_ret_5d,sbo_z_22,myr_ret_1d,myr_z_22,month,dow,qtr,harvest,ret_afeve,target,afternoon_open
2022-04-13,-0.00048320851387177353,0.03038167231133324,-0.012313830253327664,0.03173830929784868,0.0495150645273805,0.037907566046620114,0.99030434320849,0.9823234782473707,0.015094122141825927,0.04182784734158762,1.206146310652869,-0.00047281324757886267,1.4878487964540585,4,2,2,0,0.007793512413556414,1,6135.0
2022-04-14,0.018746042821055412,0.0101491515002426,0.02349664557965321,-0.004357305368955701,0.04939684986419154,0.05143801403604932,0.9226081906875053,0.6405942375175563,0.03491301575666661,0.07577367822147618,2.461816240835724,0.00023643456783517536,1.4530776906810758,4,3,2,0,0.003947269670842246,1,6321.0
2022-04-20,0.027203045250061415,0.037987132743905805,0.002203684191027004,0.02602110258457217,0.053402106513465226,0.06476966456309524,1.1247863897750743,0.8628181047442246,0.010189872910737918,0.09400574644623383,2.373857201003774,0.0007089684805998697,1.53807545848468,4,2,2,0,0.0,0,6340.0
2022-04-21,0.009262959708188639,0.01836930527316362,0.0014185517391783042,-0.0009459247118692707,0.02071787250374725,0.06365563024336598,1.0827142312544988,0.9030063406462445,0.023792757712412183,0.10136734401786551,2.6241304419924023,0.013142643995956771,3.458697809898396,4,3,2,0,-0.0026824473678352945,0,6346.0
2022-04-25,0.04041110272124744,0.035023034789563104,0.0649926761702076,-0.0017365226559661958,0.023338655216736528,0.08970103923922487,1.0354984695146134,0.6707994903020811,-0.01458424104936018,0.06940552747228246,1.8704227704033027,0.007896000150751536,3.3341992678293497,4,0,2,0,-0.07064299295897314,0,6715.0
2022-04-26,0.014753975888373861,0.023202169536819726,0.023065793520438777,-0.01144140877694186,-0.014123856144777338,0.0879853062895783,0.9029017602566985,0.09967257650695127,0.005509655810969072,0.0598210611414256,1.780934307458232,0.007030513601038457,3.05995487141492,4,1,2,0,0.010876427915262,1,6401.0
2022-04-27,0.015183176421390027,0.018430870365626115,0.006008800145348757,0.033629819058902596,0.02045188762599451,0.09798722613140617,1.182013516611219,0.7430221372848264,0.02904462101529326,0.05395266640005225,2.1428540772912634,0.0010331172358948315,2.506703504496778,4,2,2,0,0.05569334860268782,1,6565.0
2022-04-28,0.00028810141368958804,0.04584954963592504,-0.006939452453932024,0.07011520028231763,0.09230361056427838,0.16080002493943985,1.8143293683499953,1.4135860490899876,0.027280945270892865,0.0710437387602072,2.2958998113280527,0.0004588208385150061,2.141395788103191,4,3,2,0,-0.0007223867972889764,0,6924.0
2022-05-05,-0.010898894486726934,0.018362509529079567,-0.014998460989659375,-0.003174605840772654,0.10057041350044765,0.16186450980443406,1.7395881472206145,1.377085811842409,0.02194811427523824,0.06919909532303326,2.2719563930040927,-0.0018365478073014696,1.7525909533835358,5,3,2,0,-0.021174997136457208,0,6825.0
2022-05-09,-0.040466625166186494,0.023193506007611484,-0.04187013416850669,-0.03485390658210926,0.03208668785943583,0.10499475728702608,1.3606313850552791,0.8421346720444431,-0.05641151175124559,0.027371824621147844,1.1288048266025663,0.0036697288889624424,1.770009762341556,5,0,2,0,-0.014955020948741904,0,6400.0
