date,fwd_ret,signal,prob_long,equity
2016-10-13,-0.0132904937119358,1.0,0.5011583842771459,6644.743493021543
2016-10-14,0.0185576240228551,1.0,0.5141838407593323,8517.832178036777
2016-10-17,0.038282186571017,1.0,0.5031378645224102,12420.271202427024
2016-10-18,-0.0204312105120303,0.0,0.49063853443693717,12385.271202427024
2016-10-19,0.0073448732691367,0.0,0.49063853443693717,12385.271202427024
2016-10-20,-0.0047680266380254,0.0,0.49063853443693717,12385.271202427024
2016-10-21,0.00146950797936,0.0,0.49063853443693717,12385.271202427024
2016-10-24,0.0374683597470602,0.0,0.49063853443693717,12385.271202427024
2016-10-25,-0.0243390683052675,0.0,0.49063853443693717,12385.271202427024
2016-10-26,0.0122435811057117,0.0,0.49063853443693717,12385.271202427024
2016-10-27,-0.0017911521894182,0.0,0.49063853443693717,12385.271202427024
2016-10-28,0.0,0.0,0.49063853443693717,12385.271202427024
2016-10-31,-0.0090042027399288,0.0,0.49063853443693717,12385.271202427024
2016-11-01,-0.0116449641968792,0.0,0.48456374764601634,12385.271202427024
2016-11-02,0.0109211132785569,0.0,0.4970593399819875,12385.271202427024
2016-11-03,0.0043352669055387,0.0,0.48456374764601634,12385.271202427024
2016-11-04,-0.014524583590882,0.0,0.48456374764601634,12385.271202427024
2016-11-07,0.0199173703435944,0.0,0.4970593399819875,12385.271202427024
2016-11-08,0.018824921029557,0.0,0.49675404831246917,12385.271202427024
2016-11-09,-0.0010561521840743,0.0,0.49063853443693717,12385.271202427024
2016-11-10,0.0188421485031637,0.0,0.49675404831246917,12385.271202427024
2016-11-11,0.0282860909768469,0.0,0.49063853443693717,12385.271202427024
2016-11-14,-0.0425596144187956,0.0,0.49063853443693717,12385.271202427024
2016-11-16,0.0010513405559242,0.0,0.49063853443693717,12385.271202427024
2016-11-17,0.0073285967508258,0.0,0.49063853443693717,12385.271202427024
2016-11-18,-0.0020884100872704,0.0,0.49063853443693717,12385.271202427024
2016-11-21,0.0172715865086612,0.0,0.48456374764601634,12385.271202427024
2016-11-22,0.0006846970483174,0.0,0.48456374764601634,12385.271202427024
2016-11-23,0.0108918707806804,0.0,0.49063853443693717,12385.271202427024
2016-11-24,0.0171173838779816,0.0,0.49063853443693717,12385.271202427024
2016-11-25,0.0086150300884959,0.0,0.49063853443693717,12385.271202427024
2016-11-28,0.0147374535677311,0.0,0.49063853443693717,12385.271202427024
2016-11-29,-0.0081606459088643,0.0,0.49063853443693717,12385.271202427024
2016-11-30,0.007184877413815,0.0,0.49063853443693717,12385.271202427024
2016-12-01,0.0029244537495767,0.0,0.49063853443693717,12385.271202427024
2016-12-02,-0.0022738356394427,0.0,0.49063853443693717,12385.271202427024
2016-12-05,0.0199620279500596,0.0,0.49063853443693717,12385.271202427024
2016-12-06,0.0142430007070544,0.0,0.49063853443693717,12385.271202427024
2016-12-07,-0.0132871299954331,0.0,0.49063853443693717,12385.271202427024
2016-12-08,-0.008314726508356,0.0,0.49063853443693717,12385.271202427024
2016-12-09,-0.0145562977742077,0.0,0.49063853443693717,12385.271202427024
2016-12-13,0.0097277031680125,0.0,0.49675404831246917,12385.271202427024
2016-12-14,0.0080347531718274,0.0,0.48456374764601634,12385.271202427024
