date,ret_1d,ret_3d,ret_10d,ret_22d,gap,vol_ratio_22_66,mom_z_5,price_z_66,hl_ratio,month,dow,qtr,harvest,fwd_ret_1d,target
2014-12-10,-0.01953550498481249,-0.018613845933395545,-0.04095350301683354,-0.030529660615792764,-0.012048338516174262,0.9923977694307196,-0.15947054605619385,-0.6411791241280491,0.022399443268060037,12.0,1.0,4.0,1.0,0.020916402787675814,1
2014-12-11,0.020916402787675814,0.0009203866273290728,-0.029460548917599638,-0.028566893808974925,0.007487166468638229,0.9949310958037433,0.06196262294364161,-0.06712198097824008,0.018995243359629415,12.0,2.0,4.0,1.0,0.00961325782811695,1
2014-12-12,0.00961325782811695,0.010994155630980273,-0.0027297560171897217,-0.030067331166793387,-0.006923637166347696,1.0107298159374227,0.4028257857681408,0.21024772837369318,0.023465534926005865,12.0,3.0,4.0,1.0,-0.010994155630980273,0
2014-12-16,-0.010994155630980273,0.01953550498481249,0.0004607233437861069,-0.04017692238803949,0.008167014541777817,1.0162701899100703,-0.015385311276910068,-0.19397087680829544,0.021928699614459347,12.0,4.0,4.0,1.0,-0.023771802212233517,0
2014-12-17,-0.023771802212233517,-0.02515270001509684,0.005202187187284046,-0.05148195583514337,-0.009720048756583388,1.0389163809871744,-0.7584940484914352,-1.0499389822776166,0.017350962837547054,12.0,1.0,4.0,1.0,0.0032964475341792365,1
2014-12-18,0.0032964475341792365,-0.031469510309034554,-0.005625893882168498,-0.0355613550725673,-0.002834201235875078,1.0305740459153527,-0.030303782650143524,-1.004114504814701,0.01557002437738566,12.0,2.0,4.0,1.0,0.011220314067492687,1
2014-12-19,0.011220314067492687,-0.009255040610561593,-0.008794317266775487,-0.037860850361416176,0.00515827638475308,1.0176340547720677,-0.3457105463351656,-0.6601238538494306,0.013029500290333897,12.0,3.0,4.0,1.0,0.0013937284486038592,1
2014-12-22,0.0013937284486038592,0.015910490050275783,-0.006939653110540789,-0.044047983190398377,-0.004192878260036004,1.0236047676190838,-0.6190253657172822,-0.6480904990285647,0.012614042516096664,12.0,4.0,4.0,1.0,0.007400588818171627,1
2014-12-23,0.007400588818171627,0.020014631334268174,-0.0009212345193203575,-0.033978353641849424,0.0060171438200251615,1.0334074461099334,-0.014966326649974373,-0.38665506360169544,0.010171146399479669,12.0,0.0,4.0,1.0,0.01735996086248015,1
2014-12-24,0.01735996086248015,0.026154278129255637,0.016899237518694044,-0.006770506567210788,-0.0013834449981464658,1.0552366454804458,1.280816031685479,0.31497041433363826,0.025144181801025383,12.0,1.0,4.0,1.0,0.004969515535607982,1
2014-12-26,0.004969515535607982,0.02973006521625976,0.041404258039114517,-0.008972693666160936,0.0013577734604606206,1.059691248739085,1.3379845651380733,0.5085501584902471,0.013495481474884509,12.0,2.0,4.0,1.0,0.013429029026721828,1
2014-12-29,0.013429029026721828,0.03575850542480996,0.03391688427816053,0.020211781686510832,-0.006782752659789004,1.043226284621633,1.4218388653711105,1.0678259724212216,0.02336134991317382,12.0,4.0,4.0,1.0,0.016317892395440126,1
2014-12-30,0.016317892395440126,0.034716436957769936,0.040621518845483706,0.030197676444442934,0.016317892395440126,1.0725788901079936,1.852996334760654,1.7434049151028312,0.010890981098194577,12.0,0.0,4.0,1.0,-0.0013131978249605325,0
2014-12-31,-0.0013131978249605325,0.02843372359720142,0.05030247665150345,0.019461029931040486,0.005670680408425888,1.0673496447681161,1.5931303632963083,1.6482415853316381,0.009590308900953335,12.0,1.0,4.0,1.0,-0.007032996022266147,0
